_id,idx,series,kode_wilayah,wilayah,tahun,triwulan,bulan,tanggal,nilai,target
614,613,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1110101,KUTA BLANG,2006,,,,6,
615,614,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1111010,SAWANG,2006,,,,,
616,615,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1111020,NISAM,2006,,,,,
617,616,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1111030,KUTA MAKMUR,2006,,,,,
618,617,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1111031,SIMPANG KERAMAT,2006,,,,6,
619,618,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1111040,SYAMTALIRA BAYU,2006,,,,,
620,619,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1111050,MEURAH MULIA,2006,,,,,
621,620,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1111060,MATANGKULI,2006,,,,1,
622,621,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1111061,PAYA BAKONG,2006,,,,,
623,622,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1111070,COT GIREK,2006,,,,,
624,623,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1111080,TANAH JAMBO AYE,2006,,,,8,
625,624,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1111081,LANGKAHAN,2006,,,,,
626,625,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1111090,SEUNUDON,2006,,,,,
627,626,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1111100,BAKTIYA,2006,,,,,
628,627,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1111101,BAKTIYA BARAT,2006,,,,2,
629,628,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1111110,LHOKSUKON,2006,,,,,
630,629,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1111120,TANAH LUAS,2006,,,,,
631,630,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1111121,NIBONG,2006,,,,2,
632,631,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1111130,SAMUDERA,2006,,,,,
633,632,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1111140,SYAMTALIRA ARON,2006,,,,,
634,633,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1111150,TANAH PASIR,2006,,,,,
635,634,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1111160,MUARA BATU,2006,,,,1,
636,635,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1111170,DEWANTARA,2006,,,,,
637,636,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1112010,MANGGENG,2006,,,,,
638,637,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1112020,TANGAN-TANGAN,2006,,,,,
639,638,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1112030,BLANG PIDIE,2006,,,,,
640,639,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1112040,SUSOH,2006,,,,3,
641,640,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1112050,KUALA BATEE,2006,,,,,
642,641,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1112060,BABAH ROT,2006,,,,,
643,642,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1113010,KUTA PANJANG,2006,,,,,
644,643,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1113011,BLANG JERANGO,2006,,,,,
645,644,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1113020,BLANG KEJEREN,2006,,,,,
646,645,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1113021,PUTRI BETUNG,2006,,,,2,
647,646,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1113022,DABUN GELANG,2006,,,,,
648,647,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1113023,BLANG PEGAYON,2006,,,,,
649,648,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1113030,PINDING,2006,,,,,
650,649,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1113040,RIKIT GAIB,2006,,,,1,
651,650,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1113041,PANTAN CUACA,2006,,,,,
652,651,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1113050,TERANGON,2006,,,,,
653,652,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1113051,TRIPE JAYA,2006,,,,,
654,653,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1114010,TAMIANG HULU,2006,,,,23,
655,654,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1114020,KEJURUAN MUDA,2006,,,,,
656,655,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1114030,RANTAU,2006,,,,,
657,656,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1114040,KOTA KUALA SIMPANG,2006,,,,,
658,657,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1114050,SEURUWAY,2006,,,,,
659,658,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1114060,BENDAHARA,2006,,,,,
660,659,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1114070,KARANG BARU,2006,,,,7,
661,660,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1114080,MANYAK PAYED,2006,,,,,
662,661,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1115010,DARUL MAKMUR,2006,,,,,
663,662,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1115020,KUALA,2006,,,,,
664,663,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1115030,BEUTONG,2006,,,,8,
665,664,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1115040,SEUNAGAN,2006,,,,,
666,665,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1115050,SEUNAGAN TIMUR,2006,,,,,
667,666,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1116010,TEUNOM,2006,,,,,
668,667,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1116020,PANGA,2006,,,,,
669,668,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1116030,KRUENG SABEE,2006,,,,11,
670,669,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1116040,SETIA BAKTI,2006,,,,,
671,670,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1116050,SAMPOINIET,2006,,,,,
672,671,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1116060,JAYA,2006,,,,,
673,672,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1117010,TIMANG GAJAH,2006,,,,7,
674,673,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1117020,PINTU RIME GAYO,2006,,,,,
675,674,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1117030,BUKIT,2006,,,,,
676,675,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1117040,WIH PESAM,2006,,,,,
677,676,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1117050,BANDAR,2006,,,,,
678,677,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1117060,SYIAH UTAMA,2006,,,,9,
679,678,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1117070,PERMATA,2006,,,,,
680,679,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1171010,MEURAXA,2006,,,,,
681,680,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1171011,JAYA BARU,2006,,,,,
682,681,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1171012,BANDA RAYA,2006,,,,5,
683,682,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1171020,BAITURRAHMAN,2006,,,,,
684,683,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1171021,LUENG BATA,2006,,,,,
685,684,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1171030,KUTA ALAM,2006,,,,,
686,685,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1171031,KUTA RAJA,2006,,,,,
687,686,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1171040,SYIAH KUALA,2006,,,,9,
688,687,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1171041,ULEE KARENG,2006,,,,,
689,688,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1172010,SUKAJAYA,2006,,,,,
690,689,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1172020,SUKAKARYA,2006,,,,,
691,690,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1173010,LANGSA TIMUR,2006,,,,,
692,691,Jumlah Korban yang Meninggal Karena Perkelahian Massal,1173020,LANGSA BARAT,2006,,,,10,
